obs,id,census_tract,unemployment_ov16
111,1400000US22071007200,72,6.3
112,1400000US22071007501,75.01,11.4
113,1400000US22071007502,75.02,17.6
114,1400000US22071007604,76.04,1.6
115,1400000US22071007605,76.05,16.7
116,1400000US22071007606,76.06,5
117,1400000US22071007700,77,0.9
118,1400000US22071007800,78,5.2
119,1400000US22071008200,82,6.8
120,1400000US22071008300,83,6.6
121,1400000US22071008400,84,3.6
122,1400000US22071008500,85,18.9
123,1400000US22071008600,86,12.9
124,1400000US22071008800,88,7.2
125,1400000US22071009000,90,3
126,1400000US22071009100,91,8.2
127,1400000US22071009200,92,15.1
128,1400000US22071009400,94,17.2
129,1400000US22071009600,96,9.3
130,1400000US22071009700,97,4.7
131,1400000US22071009900,99,1.9
132,1400000US22071010000,100,7.9
133,1400000US22071010100,101,2.4
134,1400000US22071010200,102,6.5
135,1400000US22071010300,103,14.4
136,1400000US22071010600,106,3.3
137,1400000US22071010700,107,3.7
138,1400000US22071010800,108,0
139,1400000US22071010900,109,7.7
140,1400000US22071011100,111,4.5
141,1400000US22071011200,112,10.4
142,1400000US22071011400,114,1.5
143,1400000US22071011500,115,0
144,1400000US22071011600,116,2
145,1400000US22071011700,117,7.2
146,1400000US22071011900,119,1.8
147,1400000US22071012000,120,1.6
148,1400000US22071012101,121.01,3.7
149,1400000US22071012102,121.02,3.1
150,1400000US22071012200,122,6
151,1400000US22071012300,123,2.6
152,1400000US22071012400,124,4.8
153,1400000US22071012500,125,3.9
154,1400000US22071012600,126,5.1
155,1400000US22071012700,127,5.4
156,1400000US22071012800,128,5.2
157,1400000US22071012900,129,7.1
158,1400000US22071013000,130,5.5
159,1400000US22071013100,131,8
160,1400000US22071013200,132,8.3
161,1400000US22071013301,133.01,3.8
162,1400000US22071013302,133.02,1.5
163,1400000US22071013400,134,0.9
164,1400000US22071013500,135,14.5
165,1400000US22071013600,136,6.4
166,1400000US22071013700,137,23.6
167,1400000US22071013800,138,10.9
168,1400000US22071013900,139,10.8
169,1400000US22071014000,140,14.1
170,1400000US22071014100,141,1.6
171,1400000US22071014200,142,2.9
172,1400000US22071014300,143,17.2
173,1400000US22071014400,144,6.9
174,1400000US22071014500,145,.
175,1400000US22071980000,9800,0
176,1400000US22071980100,9801,.
177,1400000US22071990000,9900,.
